CONCEPTO_ID;DESCRIPCION;DESC_ABREVIADA;SENSIBLE_MAYUSCULA;CREAC_NOMBRE;ESTADO;REVISADO;CONSULTAR;OBSERVACION;SINONIMO;SCT_ID;SCT_TERMINO;GRUPOS_JERARQUICOS
7769166;ambisome;;Insensible;Manual;Vigente;;;;;;;
7303052;amdipin;;Insensible;Manual;Vigente;;;;;;;
7675002;aminoven;;Insensible;Manual;Vigente;;;;;;;
7769169;amiocar;;Insensible;Manual;Vigente;;;;;;;
7769176;amirel;;Insensible;Manual;Vigente;;;;;;;
7769178;amloc;;Insensible;Manual;Vigente;;;;;;;
5674130;amobiotic;;Sensible;Manual;Vigente;;;;;;;
5674131;amolex;;Sensible;Manual;Vigente;;;;;;;
5674134;amoval;;Sensible;Manual;Vigente;;;;;;;
7769186;amoxil BD;;Insensible;Manual;Vigente;;;;;;;
5674137;amparax;;Sensible;Manual;Vigente;;;;;;;
7180842;ampino;;Insensible;Manual;Vigente;;;;;;;
7345805;amplex;;Insensible;Manual;Vigente;;;;;;;
7727326;ampliron;;Insensible;Manual;Vigente;;;;;;;
7769249;amulsin;;Insensible;Manual;Vigente;;;;;;;
5674146;anacin;;Sensible;Manual;Vigente;;;;;;;
5674148;anafranil;;Sensible;Manual;Vigente;;;;;;;
7769253;anagen;;Insensible;Manual;Vigente;;;;;;;
7738052;analgésico dental;;Insensible;Manual;Vigente;;;;;;;
7633366;analgex;;Insensible;Manual;Vigente;;;;;;;
7769324;anaprolina;;Insensible;Manual;Vigente;;;;;;;
7179218;anasvitae;;Insensible;Manual;Vigente;;;;;;;
7769334;anbinex;;Insensible;Manual;Vigente;;;;;;;
7194038;andibet;;Insensible;Manual;Vigente;;;;;;;
7756071;androgel;;Insensible;Manual;Vigente;;;;;;;
5674153;anestalcon;;Sensible;Manual;Vigente;;;;;;;
7769427;anfibol;;Insensible;Manual;Vigente;;;;;;;
7769447;angeliq;;Insensible;Manual;Vigente;;;;;;;
5674154;angicon;;Sensible;Manual;Vigente;;;;;;;
7769449;angiolingual;;Insensible;Manual;Vigente;;;;;;;
7727794;angiomax;;Insensible;Manual;Vigente;;;;;;;
7769456;anisimol;;Insensible;Manual;Vigente;;;;;;;
7769462;anoro ellipta;;Insensible;Manual;Vigente;;;;;;;
7320748;anposel;;Insensible;Manual;Vigente;;;;;;;
5674160;ansaid;;Sensible;Manual;Vigente;;;;;;;
7338751;ansietil;;Insensible;Manual;Vigente;;;;;;;
7769465;antabus;;Insensible;Manual;Vigente;;;;;;;
5674162;antalin;;Sensible;Manual;Vigente;;;;;;;
5674166;antiax;;Sensible;Manual;Vigente;;;;;;;
7721486;antihemorroidal;;Insensible;Manual;Vigente;;;;;;;
7658879;antirougeurs;;Insensible;Manual;Vigente;;;;;;;
7338776;anuar;;Insensible;Manual;Vigente;;;;;;;
7769494;anulcer;;Insensible;Manual;Vigente;;;;;;;
7769497;anulette;;Insensible;Manual;Vigente;;;;;;;
7769501;anulit;;Insensible;Manual;Vigente;;;;;;;
7769506;anzap;;Insensible;Manual;Vigente;;;;;;;
7769507;apeplus;;Insensible;Manual;Vigente;;;;;;;
7769526;apetrol;;Insensible;Manual;Vigente;;;;;;;
5674172;apidra;;Sensible;Manual;Vigente;;;;;;;
7306126;aplacid;;Insensible;Manual;Vigente;;;;;;;
7299688;apo - go;;Insensible;Manual;Vigente;;;;;;;
7301480;aprinol;;Insensible;Manual;Vigente;;;;;;;
7769528;aprovasc;;Insensible;Manual;Vigente;;;;;;;
5674174;aprovel;;Sensible;Manual;Vigente;;;;;;;
7769535;aquaprécis;;Insensible;Manual;Vigente;;;;;;;
5674182;aracytin;;Sensible;Manual;Vigente;;;;;;;
7583690;aradix;;Insensible;Manual;Vigente;;;;;;;
5674185;aratan;;Sensible;Manual;Vigente;;;;;;;
7769546;arava;;Insensible;Manual;Vigente;;;;;;;
7769551;arcalion;;Insensible;Manual;Vigente;;;;;;;
7769556;arcolane;;Insensible;Manual;Vigente;;;;;;;
5702885;arcoxia;;Sensible;Manual;Vigente;;;;;;;
5674187;arel;;Sensible;Manual;Vigente;;;;;;;
5674201;arendal;;Sensible;Manual;Vigente;;;;;;;
7349011;argium;;Insensible;Manual;Vigente;;;;;;;
7769561;arilex FT;;Insensible;Manual;Vigente;;;;;;;
7769564;arimidex;;Insensible;Manual;Vigente;;;;;;;
5674203;arixtra;;Sensible;Manual;Vigente;;;;;;;
7769572;arlette 28;;Insensible;Manual;Vigente;;;;;;;
7770271;arnela;;Insensible;Manual;Vigente;;;;;;;
7770275;arnikaderm;;Insensible;Manual;Vigente;;;;;;;
7770288;arnuity ellipta;;Insensible;Manual;Vigente;;;;;;;
7772118;aromasin;;Insensible;Manual;Vigente;;;;;;;
5674220;aroxat;;Sensible;Manual;Vigente;;;;;;;
7772120;arrumal;;Insensible;Manual;Vigente;;;;;;;
7297325;arsenox;;Insensible;Manual;Vigente;;;;;;;
5674229;artesol;;Sensible;Manual;Vigente;;;;;;;
7772122;articaine;;Insensible;Manual;Vigente;;;;;;;
7312858;artren;;Insensible;Manual;Vigente;;;;;;;
7772123;artrexib;;Insensible;Manual;Vigente;;;;;;;
5674232;artridol;;Sensible;Manual;Vigente;;;;;;;
7772126;artrilab 20;;Insensible;Manual;Vigente;;;;;;;
7772127;artrizona;;Insensible;Manual;Vigente;;;;;;;
5674242;artrotin;;Sensible;Manual;Vigente;;;;;;;
7686381;arvigil;;Insensible;Manual;Vigente;;;;;;;
7772132;asax;;Insensible;Manual;Vigente;;;;;;;
7348989;asicot;;Insensible;Manual;Vigente;;;;;;;
7301246;asmavent;;Insensible;Manual;Vigente;;;;;;;
7376960;aspirina;;Insensible;Manual;Vigente;;;;;;;
5674246;asventol;;Sensible;Manual;Vigente;;;;;;;
5674247;atac;;Sensible;Manual;Vigente;;;;;;;
5674266;atacand;;Sensible;Manual;Vigente;;;;;;;
5674269;atemperator;;Sensible;Manual;Vigente;;;;;;;
7772133;atenfar;;Insensible;Manual;Vigente;;;;;;;
7772135;athimil;;Insensible;Manual;Vigente;;;;;;;
7772140;atizor;;Insensible;Manual;Vigente;;;;;;;
5674277;atlansil;;Sensible;Manual;Vigente;;;;;;;
7772141;atomex;;Insensible;Manual;Vigente;;;;;;;
5702853;Atorxa;;Sensible;Manual;Vigente;;;;;;;
7772144;atrinat;;Insensible;Manual;Vigente;;;;;;;
7333837;atripla;;Insensible;Manual;Vigente;;;;;;;
5674281;atrovent;;Sensible;Manual;Vigente;;;;;;;
7772145;atusil;;Insensible;Manual;Vigente;;;;;;;
5674287;augmentin;;Sensible;Manual;Vigente;;;;;;;
7772146;aurituss;;Insensible;Manual;Vigente;;;;;;;
7772148;aurorix;;Insensible;Manual;Vigente;;;;;;;
5674292;ausentron;;Sensible;Manual;Vigente;;;;;;;
7349521;autdol;;Insensible;Manual;Vigente;;;;;;;
5674293;auxxil;;Sensible;Manual;Vigente;;;;;;;
7772154;avamys;;Insensible;Manual;Vigente;;;;;;;
5674294;Avandamet;;Sensible;Manual;Vigente;;;;;;;
5674371;Avandia;;Sensible;Manual;Vigente;;;;;;;
7253822;avastin;;Insensible;Manual;Vigente;;;;;;;
7674243;avaxim;;Insensible;Manual;Vigente;;;;;;;
7772155;avectar;;Insensible;Manual;Vigente;;;;;;;
5674373;avelox;;Sensible;Manual;Vigente;;;;;;;
7772164;avène;;Insensible;Manual;Vigente;;;;;;;
7309487;aviatus;;Insensible;Manual;Vigente;;;;;;;
7772159;avixis;;Insensible;Manual;Vigente;;;;;;;
7772160;avodart;;Insensible;Manual;Vigente;;;;;;;
7772161;avolve;;Insensible;Manual;Vigente;;;;;;;
7772163;avonex;;Insensible;Manual;Vigente;;;;;;;
7298712;axant;;Insensible;Manual;Vigente;;;;;;;
7772165;axasol;;Insensible;Manual;Vigente;;;;;;;
7772166;axogen;;Insensible;Manual;Vigente;;;;;;;
7780337;axone XR;;Insensible;Manual;Vigente;;;;;;;
7509012;ayr;;Insensible;Manual;Vigente;;;;;;;
7772168;az ofteno;;Insensible;Manual;Vigente;;;;;;;
7772169;azacimyl;;Insensible;Manual;Vigente;;;;;;;
5674374;azacortid;;Sensible;Manual;Vigente;;;;;;;
7772170;azarga;;Insensible;Manual;Vigente;;;;;;;
7198048;azaviral;;Insensible;Manual;Vigente;;;;;;;
7772171;azdir;;Insensible;Manual;Vigente;;;;;;;
7772176;azimit;;Insensible;Manual;Vigente;;;;;;;
5674375;azitrom;;Insensible;Manual;Vigente;;;;;;;
7772177;azopt;;Insensible;Manual;Vigente;;;;;;;
7772178;azul patente;;Insensible;Manual;Vigente;;;;;;;
5674376;azulfidine;;Sensible;Manual;Vigente;;;;;;;
7772179;azymol;;Insensible;Manual;Vigente;;;;;;;
7772180;babyx;;Insensible;Manual;Vigente;;;;;;;
5674384;bacterol;;Insensible;Manual;Vigente;;;;;;;
7772181;bactrimel;;Insensible;Manual;Vigente;;;;;;;
5674394;bactroban;;Sensible;Manual;Vigente;;;;;;;
7341208;bagomicina;;Insensible;Manual;Vigente;;;;;;;
7341240;bagomigral;;Insensible;Manual;Vigente;;;;;;;
