STK_CONCEPTO;CATEGORIA;CATEGORIA_TEXTO;ESTADO;VALIDADO;MODELADO;USUARIO_VALIDA;FECHA_VALIDA;CONSULTAR;OBSERVACION;COMERCIALIZADO;GRADO_DEFINICION;FECHA_REGISTRO;USUARIO_REGISTRO
251;404684003;Problemas;1;0;0;;;0;;0;;;
252;404684003;Problemas;1;0;0;;;0;;0;;;
253;404684003;Problemas;1;0;0;;;0;;0;;;
254;404684003;Problemas;1;0;0;;;0;;0;;;
255;404684003;Problemas;1;0;0;;;0;;0;;;
256;404684003;Problemas;1;0;0;;;0;;0;;;
257;404684003;Problemas;1;0;0;;;0;;0;;;
258;404684003;Problemas;1;0;0;;;0;;0;;;
259;404684003;Problemas;1;0;0;;;0;;0;;;
260;404684003;Problemas;1;0;0;;;0;;0;;;
261;404684003;Problemas;1;0;0;;;0;;0;;;
262;404684003;Problemas;1;0;0;;;0;;0;;;
263;404684003;Problemas;1;0;0;;;0;;0;;;
264;404684003;Problemas;1;0;0;;;0;;0;;;
265;404684003;Problemas;1;0;0;;;0;;0;;;
266;404684003;Problemas;1;0;0;;;0;;0;;;
267;404684003;Problemas;1;0;0;;;0;;0;;;
268;404684003;Problemas;1;0;0;;;0;;0;;;
269;404684003;Problemas;1;0;0;;;0;;0;;;
270;404684003;Problemas;1;0;0;;;0;;0;;;
271;404684003;Problemas;1;0;0;;;0;;0;;;
272;404684003;Problemas;1;0;0;;;0;;0;;;
273;404684003;Problemas;1;0;0;;;0;;0;;;
274;404684003;Problemas;1;0;0;;;0;;0;;;
275;404684003;Problemas;1;0;0;;;0;;0;;;
276;404684003;Problemas;1;0;0;;;0;;0;;;
277;404684003;Problemas;1;0;0;;;0;;0;;;
278;404684003;Problemas;1;0;0;;;0;;0;;;
279;404684003;Problemas;1;0;0;;;0;;0;;;
280;404684003;Problemas;1;0;0;;;0;;0;;;
281;404684003;Problemas;1;0;0;;;0;;0;;;
282;404684003;Problemas;1;0;0;;;0;;0;;;
283;404684003;Problemas;1;0;0;;;0;;0;;;
284;404684003;Problemas;1;0;0;;;0;;0;;;
285;404684003;Problemas;1;0;0;;;0;;0;;;
286;404684003;Problemas;1;0;0;;;0;;0;;;
287;404684003;Problemas;1;0;0;;;0;;0;;;
288;404684003;Problemas;1;0;0;;;0;;0;;;
289;404684003;Problemas;1;0;0;;;0;;0;;;
290;404684003;Problemas;1;0;0;;;0;;0;;;
291;404684003;Problemas;1;0;0;;;0;;0;;;
292;404684003;Problemas;1;0;0;;;0;;0;;;
293;404684003;Problemas;1;0;0;;;0;;0;;;
294;404684003;Problemas;1;0;0;;;0;;0;;;
296;404684003;Problemas;1;0;0;;;0;;0;;;
